"통계분류","시점",사업체수,종사자수,매출액,사업체당평균매출액,1인당 평균매출액
"서적 및 잡지류 소매업","2013",4618,28233,5146300,1114,182
"서적 및 잡지류 소매업","2014",4576,28103,5042680,1102,179
"서적 및 잡지류 소매업","2015",4539,27654,5010952,1104,181
"서적 및 잡지류 소매업","2016",4511,27022,4975420,1103,184
"서적 및 잡지류 소매업","2017",4604,26928,4888813,1062,182
"서적 및 잡지류 소매업","2018",4478,26931,4923440,1099,183
"서적 및 잡지류 소매업","2019",4582,26637,4949724,1080,186
"서적 및 잡지류 소매업","2020",4751,26830,5157462,1086,192
"서적 및 잡지류 소매업","2021",5642,16270,5148584,913,316
"서적 및 잡지류 소매업","2022",5974,16669,5199224,870,312
