"시점","통계분류",사례수,서점도서관 등에서 책을 직접 보고,SNS인터넷의 책 소개광고,주변 사람의 추천,유튜브팟캐스트의 책 소개광고,신문방송 책 소개광고,베스트 셀러 목록,유명인사 전문가의 추천,각종 기관의 추천도서선정도서,기타
"2023","남성",1058,27.5,21.4,12.9,10.9,11,6.6,3.3,5,1.3
"2023","여성",1092,26.2,20.9,15.4,10.7,8.8,8.4,5.4,3,1.1
