"시점","통계분류",사례수,서점도서관 등에서 책을 직접 보고,SNS인터넷의 책 소개광고,주변 사람의 추천,유튜브팟캐스트의 책 소개광고,신문방송 책 소개광고,베스트 셀러 목록,유명인사 전문가의 추천,각종 기관의 추천도서선정도서,기타
"2023","1~5권",1061,31,17.8,15.8,10,9.2,7,4.2,3.7,1.4
"2023","6~10권",573,25.4,19.9,12.8,14.3,10.4,6.7,5.4,4,1.1
"2023","11~15권",241,20.9,20,13.1,8,13.5,11,5.1,8,0.3
"2023","16~20권",95,28.2,21.8,7.1,10.5,12,11.3,3.7,2,3.5
"2023","21권 이상",179,13.7,46.4,14.2,8.6,6.7,6.8,1.9,1.4,0.3
